文件夹,标志文件存在,jar 文件名,side / environment 原文
forge,是,AdvancedAE-1.1.2-1.20.1.jar,BOTH
forge,是,advgenerators-1.6.0.6-mc1.20.1.jar,BOTH
forge,是,AE2-Things-1.2.1.jar,BOTH
forge,是,ae2insertexportcard-1.20.1-1.3.0.jar,BOTH
forge,是,ae2wtlib-15.2.3-forge.jar,BOTH
forge,是,aecapfix-0.9.jar,SERVER
forge,是,alchemistry-1.20.1-2.3.4.jar,BOTH
forge,是,alchemylib-1.20.1-1.0.30.jar,BOTH
neoforge,是,accelerated-decay-neoforge-21.0.0.jar,BOTH
neoforge,是,actuallyadditions-1.3.19+mc1.21.1.jar,BOTH
neoforge,是,AdvancedAE-1.2.5-1.21.1.jar,BOTH
neoforge,是,AdvancementPlaques-1.21.1-neoforge-1.6.8.jar,BOTH
neoforge,是,AE2-Things-1.4.2-beta.jar,BOTH
neoforge,是,ae2ct-1.21.1-1.0.6.jar,BOTH
neoforge,是,ae2jeiintegration-1.2.0.jar,BOTH
neoforge,是,AE2MEGAThings-1.21.1-2.0.4.jar,BOTH
neoforge,是,ae2wtlib-19.2.3.jar,BOTH
neoforge,是,AkashicTome-1.8-29.jar,BOTH
neoforge,是,almostunified-neoforge-1.21.1-1.2.6.jar,
neoforge,是,antiquetradingship-1.4.0-neoforge-1.21.1.jar,BOTH
neoforge,是,ApothicAttributes-1.21.1-2.8.1.jar,BOTH
neoforge,是,appleskin-neoforge-mc1.21-3.0.5.jar,CLIENT
neoforge,是,Applied-Mekanistics-1.6.2.jar,BOTH
neoforge,是,appliedenergistics2-19.2.10.jar,BOTH
neoforge,是,aquatic_frontiers-1.7-neoforge-1.21.1.jar,BOTH
neoforge,是,architectury-13.0.8-neoforge.jar,BOTH
neoforge,是,arseng-2.1.1-beta.jar,
neoforge,是,ars_nouveau-1.21.1-5.8.2-all.jar,BOTH
neoforge,是,ars_ocultas-1.21.1-2.1.0.jar,BOTH
neoforge,是,athena-neoforge-1.21-4.0.1.jar,BOTH
